Domain,Area,Element,Item,Year,Unit,Value
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya bean oil","2018","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya bean oil","2019","t","0"
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya bean oil","2020","t","0"
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya bean oil","2021","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya bean oil","2010","t","175392.43"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya bean oil","2011","t","170552.12"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya bean oil","2012","t","142674.34"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya bean oil","2013","t","140830.42"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya bean oil","2014","t","160237.65"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya bean oil","2015","t","144071.21"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya bean oil","2016","t","178742.35"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya bean oil","2017","t","194918.74"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya bean oil","2018","t","151635.51"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya bean oil","2019","t","167996.76"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya bean oil","2020","t","163966.56"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya bean oil","2021","t","155374.52"
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya bean oil","2010","t","1258.42"
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya bean oil","2011","t","1683.57"
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya bean oil","2012","t","2259.88"
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya bean oil","2013","t","2715.69"
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya bean oil","2014","t","1949.92"
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya bean oil","2015","t","2812.71"
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya bean oil","2016","t","2585.62"
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya bean oil","2017","t","2462.96"
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya bean oil","2018","t","1932.55"
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya bean oil","2019","t","2178.66"
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya bean oil","2020","t","0"
