Domain,Area,Element,Item,Year,Unit,Value
"Supply Utilization Accounts (2010-)","European Union (27)","Import Quantity","Soya bean oil","2014","t","823916.62"
"Supply Utilization Accounts (2010-)","European Union (27)","Import Quantity","Soya bean oil","2015","t","842083.14"
"Supply Utilization Accounts (2010-)","European Union (27)","Import Quantity","Soya bean oil","2016","t","921789.04"
"Supply Utilization Accounts (2010-)","European Union (27)","Import Quantity","Soya bean oil","2017","t","787801.48"
"Supply Utilization Accounts (2010-)","European Union (27)","Import Quantity","Soya bean oil","2018","t","904336.79"
"Supply Utilization Accounts (2010-)","European Union (27)","Import Quantity","Soya bean oil","2019","t","1044702.21"
"Supply Utilization Accounts (2010-)","European Union (27)","Import Quantity","Soya bean oil","2020","t","1136312.28"
"Supply Utilization Accounts (2010-)","European Union (27)","Import Quantity","Soya bean oil","2021","t","1083767.45"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya bean oil","2010","t","168319.85"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya bean oil","2011","t","119915.35"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya bean oil","2012","t","-541562.28"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya bean oil","2013","t","-472754.59"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya bean oil","2014","t","149238.27"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya bean oil","2015","t","172576.61"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya bean oil","2016","t","88331.55"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya bean oil","2017","t","140797.82"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya bean oil","2018","t","197548.69"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya bean oil","2019","t","135714.56"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya bean oil","2020","t","77419.97"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya bean oil","2021","t","19695.19"
